morpheme;variant;key;type;transitivity;nature;number;compositionRoot;plural;intransSuffix;transSuffix;antipassive;engMean;freMean;source;dialect;cf;END
siti;;1;v;i;a;;;;;;;to be hard - said of a physical substance;être dur, en parlant d'une substance physique;;;;.
sitsiq;;1;v;i;a;;;;;;;to be saturated;être saturé;;;;.
situ;;1;v;i;;;;;;;;to slide down;;;;;
situ;;2;v;i;;;;;;;;to stretch one's legs out straight;s'étirer les jambes;;;;.
sivaniq;;1;v;i;;;;;;;;to ring, to chime, to toll - said of a bell, a gong, etc.;sonner, carillonner, en parlant d'une cloche, d'un gong, etc.;;;;.
sivinga;;1;v;i;a;;;;;;;to be gradually sloped or slanted;être graduellement incliné ou en pente;;;;.
su;;1;v;i;;;;;;;;what (to be what) ?;être quoi ?;;;;.
sugaluk;;1;v;i;a;;;;;;;to be helpless, dependent;être sans ressource, dépendant;;;;.
sugiaq;;1;v;i;;;;;;nil;;(1) to finally fight back at s.o. (2) to do the final shot at a game animal;(1) finalement riposter à qqn (2) achever un gibier;;;;.
sui;;1;v;i;e;;;;ksaq/1vv;gi/4vv;;to be displeased or dissatisfied with s.t.;;;;;
suka;;1;v;i;a;;;;;;;to move fast, swiftly;bouger rapidement;;;;.
sukak;;1;v;i;a;;;;;;;to be tight, taut, rigid;être serré, tendu, rigide;;;;.
sukit;;1;v;i;;;;;;;;to cut oneself on the sole of one's foot;se couper la plante du pied;;;;.
sukuuq;;1;v;i;;;;;;nil;;to scold, reprimand (trans.: s.o.);;;;;
suli;;1;v;i;;;;;;nil;;to speak truthfully;;;;;
suluksuk;;1;v;i;;;;;;;;to howl about the house - said of the wind;hurler autour de la maison (le vent);;;;.
sungiut;sungiuti;1;v;i;a;;;;;;;to be familiar, at ease with something;être familier, à l'aise avec qqch.;;;;.
sunngujaaq;;1;v;i;a;;;;;;;to be bruised;être contusionné;;;;.
suqu;;1;v;i;;;;;;;;to change one's behaviour, attitude, appearance;changer de behaviour, d'attitude, d'apparence;;;;.
surjuk;;1;v;i;;;;;;nil;;to approach (trans.: s.o.) with anger or threatengingly;approcher (trans.: qqn) avec colère ou de façon menaçante;;;;.
suvalikiaq;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be considered lightly, a waste of time or energy;être considéré légèrement, comme une perte de temps ou d'énergie;;;;.
suviq;;1;v;i;;;;;;nil;;to penetrate s.t. - said of the wind or draught;;;;;
taak;;1;v;i;;;;;;nil;;to remove s.t. (an outer garment) [Natt.];enlever qqch. (un vêtement extérieur) [Natt.];;;;.
taaq;;1;v;i;a;;;;;;;to be dark;;;;;
taggiuk;;1;v;i;;;;;;;;to sneeze;éternuer;;;;.
tagliq;;1;v;i;;;;;;nil;;to convey, carry, transport s.t. [Natt.];transporter, porter qqch. [Natt.];;;;.
taiguq;;1;v;i;;;;;;nil;;to read or peruse something [N. Baffin];lire (trans.: qqch.) [Terre de Baffin nord];;;;.
tajjuit;;1;v;i;;;;;;;;(1) to tread the sides of one's boots over or crooked (2) to cut or break his skin his skin with a dull instrument;(1) écraser les côtés de ses bottes en marchant;;;;
taki;;1;v;i;a;;;;;;;to be long;;;;;
takpik;;1;v;i;;;;;;;;to see distances well, clearly;bien voir les distances, clairement;;;;.
taksiq;;1;v;i;a;;;;;;;to be foggy, misty - said of the weather;être brumeux (le temps);;;;.
taku;;1;v;i;;;;;;nil;;to see (trans.: s.t.);voir (trans.: qqch.);;;;.
tammaq;;1;v;i;a;;;;;;;(1) to have gone lost (2) to have made a mistake;;;;;
tamua;;1;v;i;;;;;;nil;;to chew or masticate (trans.: s.t.);mâcher, mastiquer (trans.:  qqch.);;;;.
tangmaaq;;1;v;i;;;;;;;;to stop to camp for the night;arrêter camper pour la nuit;;;;.
tapa;;1;v;i;a;;;;;;;to be persistent;être persistent;;;;.
tapinguq;;1;v;i;a;;;;;;;to have a hole in one's boot [Natt.];avoir un trou dans sa botte [Natt.];;;;.
taqa;;1;v;i;a;;;;;;;to be tired, fatigued;être fatigué;;;;.
taqqirsuq;;1;v;i;;;;;;nil;;to tend s.t. (an oil lamp);s'occuper de qqch. (une lampe à huile);;;;.
taquaq;;1;v;i;a;;;;;;;to be provisioned for one's journey;être approvisionné pour un voyage;;;;.
tarjaaraq;;1;v;i;;;;;;;;to pound and break upon the shore or rocks - said of the sea or surf;battre et se briser contre le rivage ou les rochers (la mer, le ressac);;;;.
tarjaq;;1;v;i;;;;;;;;to walk up into the land to hunt caribou;marcher à l'intérieur des terres pour chasser le caribou;;;;.
tarmiluqi;;1;v;i;;;;;;;;to skip or dip on water or land before hitting one's mark - said of a bullet or missile;faire un bond sur la surface de l'eau ou du sol avant de frapper sa cible (un projectile, une balle);;;;.
tarpaq;;1;v;i;;;;;;;;to dilate one's nostrils;;;;;
tarrumaaq;;1;v;i;a;;;;;;;to be without one's outer garment;être sans ses vêtements extérieurs;;;;.
tarsaq;;1;v;i;a;;;;;;;(1) to be figured or patterned (2) to be coloured;(1) être représenté ou modélisé (2) être coloré;;;;.
tartitaq;;1;v;i;a;;;;;;;to have dark moving patches playing over oneself - said of the sea;avoir des plaques foncées qui se déplacent à sa surface (la mer);;;;.
tasikkuaq;;1;v;i;;;;;;;;(1) to look for seal-holes with dogs on leash (2) to lead dogs by the leash;(1) chercher des trous de phoques avec des chiens en laisse (2) conduire des chiens en laisse;;;;.
tasiuq;;1;v;i;;;;;;nil;;to take, to lead s.o. by the hand or the arm;prendre, diriger qqn par la main ou le bras;;;;.
tatat;;2;v;i;a;;;;;;;to be full;être plein;;;;.
tattui;;1;v;i;a;;;;;;;to be constipated;être constipé;;;;.
taursi;;1;v;i;;;;;;;;to return in payment the same thing as borrowed;retourner en paiement la même chose qu'on a emprunté;;;;.
tautuk;;1;v;i;;;;;;nil;;to look or gaze (trans.: at something);regarder (trans.: qqch.);;;;.
tavvaaki;;1;v;i;;;;;;;;to smoke or chew tobacco;fumer ou mâcher du tabac;;;;.
tigik;;1;v;i;a;;;;;;;to have hardened or frozen;avoir durci ou gelé;;;;.
tigjuq;;1;v;i;a;;;;;;;to have evaporated;s'être évaporé;;;;.
tiglik;;1;v;i;;;;;;nil;;to steal (trans.: something);voler (trans.: qqch.);;;;.
tigliq;;1;v;i;;;;;;;;to beat - said of the heart;battre (le coeur);;;;.
tija;tijak;1;v;i;;;;;;nil;;to cut up meat or fish for drying;couper de la viande ou du poisson pour le faire sécher;;;;.
tikit;;1;v;i;;;;;;nil;;"to arrive (trans.: at s.t. (a place));  to reach s.t. (a place)";"arriver (trans.: à qqch. (un endroit)); atteindre qqch. (un endroit)";;;;.
tilliq;;1;v;i;;;;;;gi/4vv;;to expect s.t.;s'attendre à qqch.;;;;.
tiluk;;1;v;i;;;;;;nil;;to beat s.t. in order to remove dirt, lint, snow, etc.;battre qqch. pour enlever la poussière, la saleté, la neige, etc.;;;;.
timautti;;1;v;i;a;;;;;;;to have one's own boots slid down at the heels;avoir les bottes qui descendent aux talons;;;;.
tinaq;;1;v;i;a;;;;;;;to be indifferent;;;;;
tingirraq;;1;v;i;;;;;;;;to boat with a sail;naviguer à la voile;;;;.
tingmi;;1;v;i;;;;;;;;to fly;voler dans les airs;;;;.
tinit;;1;v;i;a;;;;;;;to be low;;;;;
tipi;;1;v;i;;;;;;;;to drift into shore or landward by wind or tide;être poussé sur le rivage ou à l'intérieur des terres par le vent ou la marée;;;;.
tipsi;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be amusing, funny, comic, laughable;être amusant, drôle, comique, risible;;;;.
tipsik;;1;v;i;a;;;;;;;to be far up in the land;être loin à l'intérieur des terres;;;;.
tiri;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be supertitious about something;être superstitieux à propos de qqch.;;;;.
tirik;;1;v;i;;;;;;nil;;to stalk or creep on something (animal);traquer qqch;;;;
tiringnak;;1;v;i;;;;;;;;to menstruate - said of a woman;être menstruée (femme);;;;.
tirlik;;1;v;i;a;;;;;;;to be unaware of human beings, of being watched - said of wild creature;être inconscient de la présence humaine, d'être surveillé (animaux sauvages);;;;.
tirtit;;1;v;i;;;;;;;;to make a sputtering sound in speaking or laughing;faire un bruit de crachotement en parlant ou en riant;;;;.
titaq;;1;v;i;;;;;;;;to make music, esp. on the accordion;faire de la musique, spécialement à l'accordéon;;;;.
titiq;;1;v;i;;;;;;nil;;to mark something with a stroke, a sign, etc. with an instrument;marquer (trans.: qqch.) d'un trait, d'un signe avec un instrument;;;;.
titulaaq;;1;v;i;;;;;;;;to whistle or to blow, as a horn, a whistle, etc.;siffler comme une corne, un sifflet, etc.;;;;.
tuat;;1;v;i;a;;;;;;;to be thin or narrow;être étroit ou mince;;;;.
tuaviq;;1;v;i;;;;;;;;to hurry;;;;;
tubvik;;1;v;i;;;;;;;;to cross from more dangerous to less dangerous location;passer d'un endroit plus dangereux à un endroit moins dangereux;;;;.
tuglaq;tugliq;1;v;i;;;;;;;;to wear coverings on one's hair braids - said of a woman;porter quelque chose pour couvrir ses tresses de cheveux (une femme);;;;.
tujjapik;;1;v;i;;;;;;;;to walk jarringly or blunderingly;marcher maladroitement;;;;.
tujjaq;;1;v;i;;;;;;;;to hurt one's feet on rough terrain - said of dog;se blesser les pattes sur un mauvais terrain (chien);;;;.
tujurmi;;1;v;i;;;;;;;;to lodge at another's house temporarily or at a hotel;loger temporairement chez qqn ou à l'hôtel;;;;.
tukaillaa;;1;v;i;;;;;;;;to stretch one's hind legs suddenly or backward - said of quadruped animal;étirer les pattes de derrière soudainement vers l'arrière (un animal à quatre pattes);;;;.
tukatuk;;1;v;i;;;;;;;;to putt or purr - said of internal combustion engine;ronronner (moteur à combustion interne);;;;.
tukiq;;2;v;i;;;;;;;;to break its shell by kicking with one's feet - said of a bird;briser sa coquille en poussant avec les pieds, en parlant d'un oiseau;;;;.
tukku;;1;v;i;;;;;;;;to sleep with someone other that one's wife;dormir avec une autre que sa femme;;;;.
tukkuq;;1;v;i;a;;;;;;;to be generous;être généreux;;;;.
tuksiq;;1;v;i;;;;;;nil;;to ask, beg, pray (trans.: for something);demander, supplier, prier (trans.: pour qqch.);;;;.
tulaq;;1;v;i;;;;;;;;to bring one's boat ashore;;;;;
tummaq;;1;v;i;;;;;;;;to have grown together;;;;;
tunguq;;1;v;i;a;;;;;;;to be purple;être de couleur pourpre;;;;.
tungut;;1;v;i;a;;;;;;;to be exhausted;être exténué;;;;.
tunnga;tunga;1;v;i;e;;;;suk/1vv;;;to be at home, at ease with one's surroundings;se sentir chez soi, être à l'aise avec ses alentours;;;;.
tupit;;1;v;i;;;;;;;;to choke from food in the throat;s'étouffer avec de la nourriture;;;;.
tuqaluk;;1;v;i;;;;;;;;to be coming down and hitting the ground, like rain, snow, sleet, etc.;tomber, toucher le sol (pluie, neige, etc.);;;;.
tuqqik;;1;v;i;a;;;;;;;to lie firmly or flat upon one's base;reposer fermement ou à plat sur sa base;;;;.
tuqu;;1;v;i;;;;;;;;to die;mourir;;;;.
tur&uk;;1;v;i;;;;;;nil;;to call someone by his name of blood-relationship;appeler qqn par son nom de lien de parenté;;;;.
turiat;;1;v;i;;;;;;;;to hurt one's big toe;;;;;
turru;;1;v;i;a;;;;;;;to be long-haired or thick-haired or thick-napped;avoir les cheveux longs ou épais;;;;.
tusaq;;1;v;i;;;;;;nil;;to hear (trans.: something);entendre (trans.: qqch.);;;;.
tusiat;;1;v;i;;;;;;;;to limp;boiter;;;;.
tusuu;;1;v;i;;;;;;gi/4vv;;to be jealous or envious of someone about something;envier qqn de qqch.;;;;.
tut;;1;v;i;;;;;;;;to hit or land on something;;;;;
tuti;;1;v;i;;;;;;nil;;to step on something;marcher sur qqch.;;;;.
tutik;;1;v;i;;;;;;;;to lie together, not necessarily for sexual relations (used in the dual or plural);être couchés ensemble, pas nécessairement pour une relation sexuelle (utilisé au duel et au pluriel);;;;.
tuurngi;;1;v;i;;;;;;;;to invoke spirits;invoquer les esprits;;;;.
tuvaq;;1;v;i;;;;;;;;to break off in part - said of the solid sea ice;se briser en morceaux (glace de mer);;;;.
ua;;1;v;i;;;;;;;;to move [Padl.];bouger [Padl.];;;;.
uangnaq;uangniq;1;v;i;;;;;;;;to blow due north-west - said of the wind;souffler franc nord-ouest (vent);;;;.
uaq;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be amazed, astonished by something;être étonné par qqch.;;;;.
uasaq;;1;v;i;;;;;;nil;;to wash (trans.: something);laver (trans.: qqch.);;;;.
ugarsiq;;1;v;i;;;;;;;;to have severe headaches;avoir de vilains maux de tête;;;;.
ugguaq;;1;v;i;e;;;;;gi/4vv;;to deeply regret something;regretter profondément qqch.;;;;.
ugiaq;;1;v;i;;;;;;nil;;to bite (trans.: at someone) with anger - said of a quadruped;mordre (trans.: qqn) avec colère (quadrupède);;;;.
uglaq;;1;v;i;;;;;;nil;;to visit (trans.: someone);visiter (trans.: qqn);;;;.
uima;uimaq;1;v;i;a;;;;;;;to be excited;;;;;
uiqimait;;1;v;i;a;;;;;;;to be heavy;être lourd;;;;.
uirit;;1;v;i;;;;;;;;to get the habit of doing s.t.;;;;;
uirngaq;;1;v;i;a;;;;;;;to be sleepy or drowsy;avoir sommeil, être somnolent;;;;.
uirngaq;;1;v;i;a;;;;;;;to be sleepy, drowsy;avoir sommeil;;;;
uit;;1;v;i;;;;;;;;to open one's eyes;ouvrir les yeux;;;;.
uivaq;;1;v;i;;;;;;nil;;to take the long way to get (trans.: something);prendre un chemin détourné (trans.: pour arriver à qqch.);;;;
ujak;;1;v;i;;;;;;;;to come into view;apparaître;;;;.
ujaraq;;1;v;i;;;;;;;;to hit or run over rocks with one's sled runners;frapper ou passer sur des rochers avec les patins de son traîneau;;;;.
ujaujaaq;;1;v;i;a;;;;;;;to be green;être de couleur verte;;;;.
ujjiq;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to notice, to be aware of s.t.;;;;;
ujumiriaq;;1;v;i;;;;;;;;to cause distortion and mirage - said of the air, of heat waves;causer de la distorsion, des mirages (l'air, les vagues de chaleur);;;;.
ukamaq;;1;v;i;;;;;;nil;;to haul something along the edge of water with a rope;tirer (trans.: qqch.) sur le bord du rivage avec une corde;;;;.
ukiji;;1;v;i;;;;;;nil;;to gaze fixedly at someone;regarder fixement (trans.: qqn);;;;.
ukiliriaq;;1;v;i;a;;;;;;;to be mottled, dappled, splotched - said of furred or haired animal;être marbré, moucheté, tacheté (un animal à fourrure ou à poils);;;;.
ukiuq;;1;v;i;;;;;;;;to have turned winterish;;;;;
ukpikaq;;1;v;i;;;;;;;;to fall forward on hands or face;;;;;
ukpiq;ukpiri;1;v;i;;;;;;;;to believe something;croire;;;;.
uku;;1;v;i;;;;;;;;to bend one's upper body while keeping the legs straight;pencher le haut du corps tout en gardant les jambes droites;;;;.
ulamiq;;1;v;i;a;;;;;;;to be cubically round or cylindrical;être cylindrique;;;;.
ulaqi;;1;v;i;;;;;;;;to play as a child;jouer comme un enfant;;;;.
ulimak;;1;v;i;;;;;;nil;;to chop something with an axe;couper (trans.: qqch.) avec une hache;;;;.
ulit;;1;v;i;a;;;;;;;to have risen - said of the tide;avoir monté (la marée);;;;.
ullaa;;1;v;i;a;;;;;;;to be chipped - said of the fine edge of a blade;être ébréché (côté affilé d'une lame);;;;.
ullaq;;1;v;i;;;;;;nil;;to run;;;;;
uluq;;1;v;i;;;;;;nil;;to work something with a cold chisel;travailler (trans.: qqch.) avec un ciseau à froid;;;;.
uluriaq;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to back away from fear of a flying object;reculer par peur d'un objet volant;;;;.
una;;1;v;i;;;;;;;;to play - said of an animal;jouer (un animal);;;;.
unarmi;;1;v;i;;;;;;nil;;to think one can get away with something with impunity;penser qu'on peut s'en tirer (trans.: de qqch.) avec impunité;;;;.
unataq;;1;v;i;;;;;;nil;;to fight, combat (trans.: s.o. or s.t.);se battre, combattre (trans.: qqch. ou qqn);;;;.
unga;;1;v;i;;;;;;gi/4vv;;to long or yearn for a person or a living thing;languir après une personne ou un être vivant;;;;.
ungilaq;;1;v;i;;;;;;;;to itch or irritate the skin;démanger ou irriter la peau;;;;.
ungirlaq;;1;v;i;;;;;;nil;;to bag s.t. or contain s.t. by wrapping it in a skin or cloth or garment;mettre ou contenir qqch. dans un peau, un tissu ou un vêtement, comme dans un sac;;;;.
ungua;;1;v;i;;;;;;;;to propel oneself or move underwater;se mouvoir sous l'eau;;;;.
unguma;;1;v;i;;;;;;;;to stand guard over cut-up dog food;surveiller, protéger qqch. contre le vol ou l'abus;;;;.
ungupquaq;;1;v;i;;;;;;nil;;to head or chase animal into an enclosure;pousser ou chasser un animal dans un enclos;;;;.
unguuq;;1;v;i;;;;;;nil;;to head or chase animal into an enclosure;pousser ou chasser un animal dans un enclos;;;;.
uni;;1;v;i;;;;;;nil;;to go or dash for food, refuse, etc. - said of a dog or carnivore;se précipiter vers la nourriture, les déchets, etc (un chien ou autre animal carnivore);;;;.
uniaq;;1;v;i;;;;;;nil;;to haul something along the ground with a rope;tirer (trans.: qqch.) sur le sol avec une corde;;;;.
unik;;1;v;i;;;;;;;;to stop due to inertia;arrêter par inertie;;;;.
unipkaaq;;1;v;i;;;;;;nil;;to tell a story (trans.: to s.o.);raconter une histoire (trans.: à qqn);;;;.
unniq;;1;v;i;;;;;;nil;;to tell someone an indisputable fact;dire à qqn un fait indiscutable;;;;.
unnuk;;1;v;i;;;;;;;;to be, to have become evening;être, être devenu le soir;;;;.
unuq;;1;v;i;a;;;;;;;to be numerous or many;être nombreux, plusieurs;;;;.
upak;;1;v;i;;;;;;nil;;to approach (trans.: s.t.);s'approcher (trans.: de qqch.);;;;.
upalungiq;;1;v;i;a;;;;;;;to be determined to do something;être déterminé à faire qqch.;;;;.
upaluq;;1;v;i;;;;;;;;(1) to jump into action (2) to act hastily without thinking;(1) sauter dans l'action (2) agir avec hâte sans réfléchir;;;;.
upik;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to be amazed or astonished at something;être étonné ou surpris par qqch.;;;;.
upsik;;1;v;i;a;;;;;;;to be densely textured or woven;;;;;
upsiri;;1;v;i;;;;;;nil;;to chink or caulk (trans.: s.t.);;;;;
uqaq;;1;v;i;;;;;;nil;;to speak;;;;;
uqit;;1;v;i;a;;;;;;;to be light in weight;être léger;;;;.
uqumait;;1;v;i;a;;;;;;;to be heavy in weight;être lourd;;;;.
uriaq;;1;v;i;;;;;;nil;;to spit (trans.: s.t. out);cracher (trans.: qqch.);;;;.
urnik;;1;v;i;;;;;;nil;;to approach (trans.: s.t.);s'approcher (trans.: de qqch.);;;;.
urru;;1;v;i;;;;;;;;to fall over, to topple;tomber, trébucher;;;;.
urrulu;;1;v;i;;;;;;gi/4vv;;to hate (trans.: s.o.);haïr (trans.: qqn);;;;.
urruraq;;1;v;i;;;;;;;;to bend in from being too thin or sharp - said of the edge of a blade;plier parce que trop mince ou trop aiguisée (le bord de la lame d'une couteau);;;;.
usi;;1;v;i;;;;;;;;to have a load or cargo aboard;avoir une charge à son bord;;;;.
usiq;;1;v;i;a;;;;;;;to have one's clothes removed;;;;;
usiraq;;1;v;i;;;;;;;;to spill over the top of the container - said of a liquid;se renverser par-dessus le couvercle du contenant (un liquide);;;;.
utaqqi;;1;v;i;;;;;;nil;;to wait (trans.: for s.o. or s.t.);attendre (trans.: après qqch. ou qqn);;;;.
uti;;1;v;i;;;;;;;;to shed one's hair or skin - said of an animal;perdre ses poils ou sa peau (un animal);;;;.
utiq;;1;v;i;;;;;;nil;;to return;;;;;
uukkaq;;1;v;i;;;;;;;;to break off in part - said of the solid sea ice;se briser en morceaux (glace de mer solide);;;;.
uulik;;1;v;i;;;;;;;;to shiver from cold or fever;grelotter de froid ou de fièvre;;;;.
uuma;;1;v;i;a;;;;;;;(1) to be alive (2) to be a living thing (3) to be a game animal (4) to be running - said of a mechanism: watch, clock, ...;(1) être vivant (2) être un être vivant (3) être un gibier (4) être en train de fonctionner (mécanisme: horloge, montre, ...);;;;.
uumi;;1;v;i;e;;;;gusuk/1vv;gi/4vv;;to hate s.o.;haïr qqn;;;;.
uumilaq;;1;v;i;;;;;;;;to twist one's mouth into a wry gesture;se déformer la bouche en un geste moqueur ou humoristique;;;;.
uvingiaq;;1;v;i;;;;;;nil;;to whistle (trans.: s.o. or at s.t.);siffler (trans.: qqn);;;;.
aat;;1;v;t;;;;;;;si/1vv;[-R](1) to /offer, /give, /bring s.t. to someone (-mut) (2) to /take s.t. away forcibly from someone (-mit);[-R](1) /offrir, /donner, /apporter qqch. à quelqu'un (-mut) (2) /enlever qqch. de force à quelqu'un (-mit);;;;
aaqqik;;1;v;t;;;;;;;i/1vv;to /correct, /fix, /repair, /adjust, /heal s.t.;/corriger, /réparer, /ajuster, /apaiser qqch.;;;;.
abguq;;1;v;t;;;;;;;si/1vv i/1vv;[-R]to /cut s.t. up in small pieces;[-R]/couper qqch. en petits morceaux;;;;.
aggiq;;2;v;t;res;;;;;;si/1vv;to /cook s.t. over open flame or on spit;/cuire qqch. au-dessus d'un feu ou sur un broche;;;;.
agguaq;;1;v;t;;;;;;;si/1vv;[-R]to /patch s.t. (a garment) in overlap fashion;[-R]/rapiécer qqch. (un vêtement) par chevauchement;;;;.
agvaiq;;1;v;t;;;;;;;si/1vv;[-R]to /take s.t. out of the way;;;;;
ajuqiq;ajugiq;1;v;t;;;;;;;i/1vv;[-R]to /teach or /instruct s.o. one thing one time;[-R]/instruire qqn, /enseigner-à qqn une chose une fois;;;;.
akpaq;;1;v;t;;;;;;;i/1vv;to /bring s.t. down;;;;;
aktuq;;1;v;t;;;;;;;i/1vv;to /touch s.t.;/toucher qqch.;;;;.
akuk;;1;v;t;;;;;;;si/1vv;[-R]to /mix or /stir s.t. up;[-R]/tourner, /remuer qqch. pour le mélanger;;;;.
akuq;;1;v;t;;;;;;;si/1vv i/1vv;[-R]to /catch s.t.;[-R]/attraper qqch.;;;;.
alik;;1;v;t;res;;;;;;;to /rip or /tear s.t.;/déchirer qqch.;;;;.
amiq;;1;v;t;;;;;;;i/1vv;to /cover s.t. with skin;/couvrir qqch. avec une peau;;;;.
anau;anauk;1;v;t;;;;;;;si/1vv;to /hit or /beat s.t. with a stick;/frapper qqch. avec un bâton;;;;.
angu;;1;v;t;;;;;;;si/1vv i/1vv;[-R](1) to /overtake and /kill s.t. (an animal or quarry) (2) to /catch up with s.o. or s.t.;;;;;
annuraaq;;1;v;t;;;;;;;si/1vv;to /dress s.o.;;;;;
anuk;anu;1;v;t;;;;;;;si/1vv;[-R]to harness s.t. (an animal);[-R]/harnacher qqch. (un animal);;;;.
apiq;;1;v;t;;;;;;;si/1vv;to /ask s.o. a question;/poser-à qqn une question;;;;.
aptiq;;1;v;t;;;;;;;i/1vv;to /scatter or /strew s.t. about;/répandre, /éparpiller qqch.;;;;.
apuq;;1;v;t;;;;;;;i/1vv si/1vv;[-R]to meet with s.t.;;;;;
aqi;;1;v;t;;;;;;;si/1vv;to /kick s.t.;/frapper qqn avec le pied;;;;.
aqqaq;;1;v;t;;;;;;;i/1vv;[-R]to /take s.t. down out of sight;;;;;
arjaq;ajjaq;1;v;t;;;;;;;si/1vv;[-R]to /carry s.t. in the arms;[-R]/porter qqch. dans les bras;;;;.
arsaaq;;1;v;t;;;;;;;si/1vv;[-R]to /snatch s.t.;;;;;
assungiq;;1;v;t;;;;;;;si/1vv i/1vv;to /fasten or /tie s.t. firmly;/attacher qqch. fermement;;;;.
atangiq;;1;v;t;;;;;;;i/1vv;[-R]to /do, /get s.t. completely, all of them;;;;;
attiq;;1;v;t;;;;;;;si/1vv;to /give s.o. or s.t. a name;;;;;
atuq;;1;v;t;;;;;;;si/1vv;[-R]to /use s.t.;;;;;
aula;;1;v;t;;;;;;;si/1vv;to /move s.t.;/déplacer qqch.;;;;.
avaaq;;1;v;t;;;;;;;si/1vv;to stun /s.o.;;;;;
avik;;1;v;t;res;;;;;;si/1vv;to /divide or /separate s.t.;/diviser ou /séparer qqch.;;;;.
igit;;1;v;t;;;;;;;si/1vv;[-R]to /throw s.t. out;;;;;
igumit;;1;v;t;;;;;;;si/1vv i/1vv;to /take s.t. apart;;;;;
ii;;1;v;t;;;;;;;si/1vv;[-R]to /swallow s.t.;[-R]/avaler qqch.;;;;.
ijiq;;1;v;t;res;;;;;;si/1vv;to /hide s.t.;/cacher qqch.;;;;.
ikit;;1;v;t;res;;;;;;si/1vv;(1) to /burn s.t. (2) to /turn s.t. on (a light, a fire);(1)/brûler qqch. (2)/allumer qqch. (une lumière, un feu);;;;.
iksiq;;1;v;t;;;;;;;i/1vv;[-R]to /leave s.t. behing;;;;;
ikuallaq;;1;v;t;res;;;;;;si/1vv;to /burn s.t. with flame;/brûler qqch. avec une flamme;;;;.
ikuqqaq;;1;v;t;;;;;;;si/1vv;to /put s.t. on a raised platform, pedestal, dais;/mettre qqch. sur un piédestal, sur une plateforme surélevée;;;;.
ila;;1;v;t;;;;;;;ji/1vv;to /mix s.t. with something;;;;;
ili;;1;v;t;;;;;;;ji/1vv si/1vv;to /put or /place s.t. down;/déposer qqch.;;;;.
imiggiq;;1;v;t;;;;;;;si/1vv;[-R]to /dent s.t.;;;;;
imik;;1;v;t;res;;;;;;si/1vv;to /cave s.t. in;;;;;
imu;;1;v;t;;;;;;;si/1vv;to /coil s.t., /roll, /curl s.t. up;/enrouler qqch.;;;;.
ingnaq;;1;v;t;res;;;;;;si/1vv;[T]to strike the flint against the firestone causing sparks [P]to be made to spark by being struck with flint or flintstone [R]to spark;[T]faire faire des étincelles à une pierre à feu[P]être fait qu'on fait des étincelles[R]faire des étincelles;;;;.
ingulak;;1;v;t;;;;;;;si/1vv;[-R]to /stir or /mix s.t.;[-R]/brasser, /mélanger qqch.;;;;.
iniq;;1;v;t;;;;;;;si/1vv;[-R]to /finish, /complete s.t.;[-R]/terminer, /compléter qqch.;;;;.
innguq;;1;v;t;res;;;;;;i/1vv;to /cave s.t. in;;;;;
ipsuk;;1;v;t;;;;;;;i/1vv;to /shake s.t. out;;;;;
iqik;;1;v;t;;;;;;;si/1vv;[-R]to /circle s.t. with arms or hands;;;;;
iqqaq;iqaq;1;v;t;;;;;;;i/1vv;[-R]to /remember, /recollect s.t.;[T]se rappeler, se souvenir de quelque chose [P]être qqch. ou qqn dans l'état que qqn s'est souvenu;;;;.
iri;;1;v;t;res;;;;;;si/1vv;[-R]to /pluck s.t.;;;;;
irmik;;1;v;t;;;;;;;si/1vv;to /wash s.t.;/laver qqch.;;;;.
irpaq;;1;v;t;res;;;;;;si/1vv;to /bend s.t. out or away of something;/courber, /plier qqch.;;;;.
irruq;;1;v;t;res;;;;;;si/1vv;to /rinse s.t. out of a fabric or garment;/rinser qqch. d'un tissu ou d'un vêtement;;;;.
isiqiksaq;;1;v;t;;;;;;;i/1vv;[-R]to /iron or /press s.t.;[-R]/repasser qqch. au fer;;;;
isivit;;1;v;t;res;;;;;;si/1vv;to /uncoil, /unroll s.t.;[-R]/dérouler qqch. [R]se dérouler;;;;.
itiq;;1;v;t;res;;;;;;si/1vv;[-R]to /put s.t. in;;;;;
kagguaq;;1;v;t;;;;;;;si/1vv;[-R]to /knock s.o. or s.t. down;;;;;
kagli;;1;v;t;res;;;;;;si/1vv;[-R]to /draw near to s.t.;;;;;
kaivit;kaiva kaivat;2;v;t;res;;;;;;si/1vv;to /spin, /rotate, /revolve s.t.;[T]faire tourner, tournoyer qqch.[P]être fait qu'on tourne, qu'on tournoye[R]tourner, tournoyer;;;;.
kaki;;1;v;t;;;;;;;si/1vv;to /prick s.t.;/piquer, /trouer, /crever qqch.;;;;.
kakiaq;;1;v;t;;;;;;;si/1vv;to /clean s.t. or /clear s.t. of impurities or marks;/nettoyer qqch. de ses impuretés ou de ses marques;;;;.
