morpheme,variant,nb,type,transitivity,nature,number,compositionRoot,plural,intransSuffix,transSuffix,antipassive,engMean,freMean,source,dialect,cf,END
qau,,1,v,i,a,,,,,,,"(1) to rise, speaking of the sun (2) to be light, bright","(1) se lever (le soleil) (2) être lumineux, brillant",,,,.
qau,,1,n,,,,,,,,,"day, daylight","jour, lumière du jour",,,,.
qauji,,1,v,i,,,,,,nil,,to know s.t.,,,,,
qaulluk,,1,v,i,a,,,,,,,"to be white, light in colour","être de couleur blanche, de couleur pâle",,,,.
qauq,,1,v,t,res,,,,,,,"to /force, to /break s.t apart (stuck or frozen surfaces)",/détacher qqch. par la force (surfaces gelées ou coincées),,,,.
qauq,,1,n,,ana,,,,,,,forehead,front,,,,.
qausiq,,1,v,i,a,,,,,,,to be wet,être humide,,,,.
qausiq,,1,n,,,,,,,,,wet,,,,,
qaviinga,,1,v,i,,,,,,,,to squint the eyes,plisser les yeux,,,,.
qaviq,,1,n,,zoo,,,,,,,blue goose,petite oie des neiges,,,,.
qavirpiut,,1,n,,,,,,,,,red stripe over the eye of the willow ptarmigan,bande rouge au-dessus de l'oeil du lagopède des saules,,,,.
qavviasiaq,,1,n,,zoo,,,,,,,marten [ECHB,,,,,
qia,,1,v,i,,,,,,,,to weep,,,,,
qiarngaq,,1,v,i,a,,,,,,,to be pure black,,,,,
qibliq,,1,v,i,a,,,,,,,to glitter,,,,,
qiggiq,,1,v,i,,,,,,,,to jump or leap up in the air,sauter dans les airs,,,,.
qigguq,,1,n,,,,,,,,,boulder bed,,,,,
qigluk,,1,v,i,,,,,,,,to try to revenge oneself or retaliate against s.o.,tenter de se venger contre qqn,,,,.
qiiq,,1,n,,ana,,,,,,,grey hair,cheveux gris,,,,.
qijuk,,1,n,,,,,,,,,wood,,,,,
qika,,1,v,i,,,,,,,,to stay put,,,,,
qikiqqaq,,1,v,i,,,,,,,,"to make the sound of footsteps, of sled runners, of hoofbeats","faire le bruit des pas, des patins de traîneau, des sabots, etc.",,,,.
qikiqqaq,,1,n,,,,,,,,,"sound of footsteps, of sled runners, of hoofbeats","son produit par les pas, par le pas des animaux, par les traîneaux, etc.",,,,.
qikirtaq,,1,n,,,,,,,,,island,île,,,,.
qikkut,,1,n,,,,,,,,,plaything,,,,,
qiksaaq,,1,v,i,a,,,,,,,to be deeply sad or melancholy,,,,,
qiksimik,,1,v,i,,,,,,,,to glance sidewards without turning the head,regarder de côté sans tourner la tête,,,,.
qiksulik,,1,v,i,,,,,,,,"to protrude due to having gotten wet, speaking of the inside of a cut in meat",faire saillie parce qu'ell a été mouillée (intérieur d'une coupure dans de la viande),,,,.
qikturaaq,,1,v,t,res,,,,,,si/1vv,to /snap s.t. in two,/casser qqch. net en deux,,,,.
qikturiaq,,1,n,,zoo,,,,,,,mosquito,moustique,,,,.
qikuq,,1,v,t,,,,,,,si/1vv i/1vv,[-R]to /stick s.t. in place or /plaster s.t. in place,[T]coller ou plâtrer qqch. pour le tenir en place[P]être collé ou plâtré pour être tenu en place,,,,.
qikuq,,1,n,,,,,,,,,stone-work or masonry,,,,,
qilaa,,1,v,i,,,,,,,,to commune with spirits,communiquer avec les esprits,,,,.
qilak,qillak,1,v,t,,,,,,,si/1vv,to /tie s.t. up,,,,,
qilak,qillak,1,n,,ana,,,,,,,(1) dome of the sky (2) heaven (3) roof of the mouth,(1) voûte du ciel (2) ciel (3) palais de la bouche,,,,.
qilalugaq,,1,n,,zoo,,,,,,,white whale or beluga [N. Baffin,,,,,
qilammik,,1,a,,,,,,,,,quickly,,,,,
qilanaaq,,1,v,i,,,,,,gi/4vv,,"to want s.t. badly, desperately",vouloir qqch. désespérément,,,,.
qilaut,,1,n,,,,,,,,,skin-drum,tambour,,,,.
qilirpaq,,1,n,,,,,,,,,badge or insignia worn on a hat or cap,insigne portée sur une chapeau ou un casquette,,,,.
qilirsinaq,,1,n,,ana,,,,,,,gland,,,,,
qiliruq,,1,n,,,,,,,,,scar,cicatrice,,,,.
qilu,,1,v,t,,,,,,,i/1vv,to /spread s.t. out,,,,,
qilua,,1,v,i,,,,,,,,to twitch or jump or flip in death,avoir un spasme (en mourant),,,,
qiluaq,,1,v,t,,,,,,,si/1vv,[-R]to /capture s.t. in a lasso,[-R]/capturer qqch. au lasso,,,,.
qiluaq,,2,n,,,,,,,,,drawstring,,,,,
qiluk,,1,v,i,,,,,,nil,,to bark,,,,,
qiluriaq,,1,n,,,,,,,,,help,,,,,
qimaa,,1,v,i,,,,,,nil,,"to run away, to escape (trans.: from s.o.)","se sauver, s'échapper (trans.: de qqn)",,,,.
qimak,,1,v,t,,,,,,,si/1vv,"[-R]to leave /s.t. behind, to /abandon s.t.",[-R]/laisser qqch. derrière,,,,
qimiaq,,1,n,,,,,,,,,(1) backing of a fish net (2) hack-saw frame (3) long tie-out chain,(1) renforcement d'un filet de pêche (2) cadre d'une scie à métaux (3) longue chaîne,,,,.
qimiarjuk,qimiujaq,1,n,,,,,,,,,esker,,,,,
qimir&uk,qimir&uaq,1,n,,ana,,,,,,,spine,,,,,
qimirru,,1,v,i,,,,,,nil,,"to scan, scrutinize, inspect s.t.",,,,,
qimirut,,1,n,,,,,,,,,horizontal bar or cross-piece for tent,barre horizontale ou transversale pour la tente,,,,.
qimit,,1,v,t,,,,,,,si/1vv,"to /hang, /strangle s.o.","/pendre, /étrangler qqn",,,,.
qimmiq,qingmiq,1,n,,zoo,,,,,,,dog,chien,,,,.
qimugjuk,,1,n,,,,,,,,,snow drift formed in lee of projection which tapers gradually to the ground,banc de neige formé à l'abri du vent qui descend graduellement vers le sol,,,,.
qimuk,,1,v,i,,,,,,nil,,to pull at a vehicle,tirer un véhicule,,,,.
qinalugaq,,1,n,,zoo,,,,,,,white whale or beluga [WCHB],baleine blanche ou béluga [côte ouest de la Baie d'Hudson],,,,.
qingaq,,1,n,,ana,,,,,,,nose,,,,,
qingniq,,1,n,,,,,,,,,meat cache [Baffin,,,,,
qiniaq,,1,v,i,,,,,,,,to plead or beg for s.t. which is refused,supplier pour qqch. qui est refusé,,,,.
qiniq,,1,v,i,,,,,,nil,,to search for s.t.,"chercher, rechercher (trans.: qqch.)",,,,.
qinnguq,,1,n,,ana,,,,,,,middle of forehead,,,,,
qinu,,1,v,i,,,,,,,,to plead or beg for s.t. which is refused,supplier pour qqch. qui est refusé,,,,.
qinuk,,1,n,,,,,,,,,small particles of snow or ice on the water,petites particules de neige ou de glace dans l'eau,,,,.
qipa,qipat,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to hate s.o.,haïr qqn,,,,.
qipaluaq,,1,n,,ana,,,,,,,inside corner of the eye,coin interne de l'oeil,,,,.
qipik,,1,v,t,,,,,,,i/1vv,to /cover s.o. with a blanket,/couvrir qqn avec une couverture,,,,.
qipik,,1,n,,,,,,,,,blanket,,,,,
qipiluk,,1,v,i,,,,,,nil,,to refuse (trans.: s.o.),,,,,
qipit,,1,v,t,,,,,,,si/1vv,to /twist s.t. around and around,/enrouler qqch. autour de quelque chose,,,,.
qipjaaq,,1,v,t,,,,,,,si/1vv,to /screw s.t. on or tight,,,,,
qipjaaq,,1,n,,,,,,,,,threading,filetage,,,,.
qipsi,,1,v,i,a,,,,,,,"to be unable to sleep because of the noise, the talking, etc.","être incapable de dormir à cause du bruit, de la conversation, etc.",,,,.
qiptaiq,,1,v,i,a,,,,,,,to be awake,,,,,
qipuqqa,,1,v,i,a,,,,,,,to be or get scratched in many places or extensively,être égratigné ou se faire égratigner à plusieurs endroits,,,,.
qipuqqiq,,1,v,i,a,,,,,,,to get a scratch,,,,,
qiqi,,1,v,i,a,,,,,,,to have hardened,,,,,
qiqquaq,,1,n,,,,,,,,,common sea-weed,algue commune,,,,.
qirata,qirataq,1,v,i,a,,,,,,,"to be frozen, solidified","être gelé, solidifié",,,,.
qirliraq,,1,v,t,,,,,,,i/1vv si/1vv,[-R]to /pry s.t. off,"[-R]/enlever, /soulever qqch. avec un levier",,,,.
qirlut,,1,v,t,,,,,,,i/1vv,[-R]to /miss s.t. (an animal) by shooting too low,[-R]/rater qqch. (un animal) en tirant trop bas,,,,.
qirluti,,1,v,i,,,,,,,,"to sink through the seal-hole and float under the ice, speaking of a shot or dead seal",couler à travers un trou et flotter sous la glace (un phoque mort ou sur lequel on a tiré),,,,.
qirngaq,,1,v,i,,,,,,,,to pray to spirits,prier les esprits,,,,.
qirngumik,qirngumigaq,1,v,i,,,,,,,,to look at s.t. through telescope or binoculars,regarder à travers un télescope ou des jumelles,,,,.
qirniq,,1,v,i,a,,,,,,,to be black,,,,,
qirpak,,1,n,,,,,,,,,cutaway or slit at sides of Inuit tunic,fente sur les côtés de la tunique inuit,,,,.
qirsuq,,1,v,i,a,,,,,,,to have an epileptic fit,avoir une crise d'épilepsie,,,,.
qirsuq,,2,v,i,,,,,,nil,,to harden the snow or other substance around s.t. by tamping or trampling,,,,,
qirti,,1,v,i,,,,,,,,to push up or roll up one's sleeves in order to wash or cut s.t.,remonter ses manches pour laver ou couper qqch.,,,,.
qirtutaq,,1,v,i,,,,,,nil,,to strengthen or support s.t. by binding or banding it,,,,,
qisarruaq,,1,n,,ana,,,,,,,caribou's first stomach,premier estomac du caribou,,,,.
qisik,,1,n,,,,,,,,,seal skin,,,,,
qissiq,,1,v,i,,,,,,,,to spit,cracher,,,,.
qissuk,,1,v,t,,,,,,,nnik/1vv,to /scratch s.o. intentionally and repeatedly or in several places,/égratigner ou /gratter qqn intentionellement et de façon répétée ou à plusieurs endroits,,,,.
qisuk,,1,v,t,,,,,,,nnik/1vv,to /scratch s.o. intentionally,/égratigner ou /gratter qqn intentionellement,,,,.
qisuk,,1,n,,,,,,,,,(1) harness snap [WCHB,,,,,
qitik,,1,v,i,,,,,,,,to play as a child,jouer comme un enfant,,,,.
qitiq,,1,n,,ana,,,,,,,middle of something,,,,,
qitirulliq,,1,n,,zoo,,,,,,,maggot,asticot,,,,.
qiturngaq,,1,n,,,,,,,,,child,enfant,,,,.
qitut,,1,v,i,a,,,,,,,to be soft and supple,,,,,
qiu,,1,v,i,a,,,,,,,to be cold or chilly,"avoir froid, geler",,,,.
qiuq,,1,v,t,,,,,,,si/1vv,"to /chop, /trim, /clip s.t.","/couper, /émincer, /tailler, /tondre qqch.",,,,.
qiurnit,,1,v,i,a,,,,,,,to taste of musk or sex glands,"avoir le goût de musc, des glandes sexuelles",,,,.
qiviaq,,1,v,i,,,,,,nil,,to look back or around (trans.: at someone),regarder en arrière ou autour (trans.: qqn),,,,.
qivik,,2,v,i,a,,,,,,,to have one's own feelings hurt,être blessé dans ses sentiments,,,,.
qivik,,1,v,t,,,,,,,si/1vv,to /lift s.t.,,,,,
qiviu,,1,n,,,,,,,,,fine hair or down hair of a bird,"poils fins, duvet d'oiseau",,,,.
quajaq,,1,v,i,,,,,,,,to slip on a slippery surface,glisser sur une surface glissante,,,,.
quaniq,,1,n,,bot,,,,,,,(edible) marine plant,plante marine comestible,,,,.
quaq,,1,v,i,a,,,,,,,"to be frozen, speaking of meat or soft or liquid substance","être gelé, en parlant de viande ou d'une substance molle ou liquide",,,,.
quaq,,1,n,,,,,,,,,soft or liquid substance solidly frozen,substance molle ou liquide gelée solidement,,,,.
quarjuk,,1,n,,,,,,,,,ridge,,,,,
quartaq,,1,n,,zoo,,,,,,,intestinal worm,vers intestinal,,,,.
qublaniq,,1,n,,,,,,,,,"crack, split in wood",fissure dans le bois,,,,.
qubvik,,1,n,,,,,,,,,tear,,,,,
qugjuk,,1,n,,zoo,,,,,,,trumpeter swan,cygne trompette,,,,.
qugjuq,,1,n,,zoo,,,,,,,pure white animal,animal d'un blanc immaculé,,,,.
qugvaq,,1,v,t,,,,,,,si/1vv,to /raise s.t.,,,,,
qui,,1,v,i,,,,,,,,"to piss, urinate","pisser, uriner",,,,.
quik,,1,n,,ana,,,,,,,seal's thigh,cuisse de phoque,,,,.
quilirta,,1,v,i,a,,,,,,,to be afraid of the unseen or unknown,,,,,
quinak,,1,v,i,a,,,,,,,"to be ticklish, to feel a tickling sensation",être chatouilleux,,,,
quini,,1,v,i,a,,,,,,,"to be fat, stout, thick-set","être gras, corpulent",,,,.
quiqtuq,,1,v,i,,,,,,,,to cough,tousser,,,,.
quja,,1,v,i,a,,,,,gi/4vv,,"to be thankful, grateful (trans.: to s.o.)",être reconnaissant (trans.: envers qqn),,,,.
qujana,,1,e,,,,,,,,,"interjection: ""Never mind!""","interjection: ""Ça ne fait rien!""",,,,
qukaq,,1,v,i,a,,,,,,,to be seen no more,,,,,
qukiq,,1,v,t,,,,,,,si/1vv,/to shoot s.o. or s.t. with a gun,/tirer qqch. ou qqn avec une arme à feu,,,,.
quksa,,1,v,i,a,,,,,,,to react nervously,réagir nerveusement,,,,.
quksik,quksiq,1,n,,zoo,,,,,,,herring gull,goéland argenté,,,,.
qula,,1,v,i,,,,,,gi/4vv,,to doubt someone,douter de qqn,,,,.
qula,,1,n,,,,,,,,,the space above something,l'espace au-dessus de qqch.,,,,.
qulit,,1,n,,,p,,,,,,ten,dix,,,,.
qulliquliarjuk,qulliqulliarjuk,1,n,,zoo,,,,,,,kildeer,pluvier kildir,,,,.
quluaq,,1,v,i,a,,,,,,,"to have one's stomach rumble, make noises",avoir l'estomac qui gargouille,,,,.
qulusuk,,1,n,,,,,,,,,bird's back,le dos d'un oiseau,,,,.
qumak,,1,n,,zoo,,,,,,,caribou back worm or parasite,ver ou parasite du dos du caribou,,,,.
qumaq,,1,v,i,,,,,,,,to snuggle,,,,,
qumik,,1,v,i,,,,,,,,to hold a child inside one's tunic or shirt,tenir un enfant dans sa tunique,,,,.
qummasuk,,1,v,i,,,,,,,,to expect or anticipate something,s'attendre à qqch.,,,,
qummut,,1,a,,,,,,,,,upward,vers le haut,,,,.
qumnaaq,,1,n,,,,,,,,,large rock cleft or fissure,large crevasse rocheuse,,,,.
qungasiq,,1,n,,,,,,,,,neck,cou,,,,.
qungat,,1,v,i,,,,,,nil,,to smile (trans.: at s.o.),sourire (trans.: à qqn),,,,.
qungniq,,1,n,,,,,,,,,crack or fissure in ice,fissure dans la glace,,,,.
qungujuk,,1,v,t,,,,,,,i/1vv si/1vv,[-R]to /flatten or /squash s.t. down,"/aplatir, /écraser qqch.",,,,.
quniq,,1,v,i,a,,,,,,,to be stiff with cold,être rigide à cause du froid,,,,.
qunu,,1,v,i,,,,,,gi/4vv,,to draw back (trans.: from s.o. or s.t.),"se retirer, s'éloigner (trans.: de qqn ou de qqch.)",,,,.
qupannuaq,,1,n,,zoo,,,,,,,snow bunting,,,,,
qupi,,1,v,t,res,,,,,,si/1vv,"to /split s.t., /crack s.t. lengthwise, along the grain",/fendre qqch. dans le sens de la longueur ou dans le sens du grain en plusieurs endroits,,,,.
qupiqquq,,1,n,,zoo,,,,,,,maggot,,,,,
qupluq,,1,v,t,res,,,,,,i/1vv,to /crack s.t. lengthwise or along the grain in many places,/fendre qqch. dans le sens de la longueur ou dans le sens du grain en plusieurs endroits,,,,.
quppaq,,1,n,,,,,,,,,crack or split in wood,fissure dans le bois,,,,.
quppiq,,1,v,i,,,,,,nil,,to part the hair of one's own head,,,,,
qupsuk,,1,v,i,a,,,,,,,to be squashed out of shape,,,,,
quputilik,,1,n,,,,,,,,,policeman,policier,,,,.
quqaak,,1,e,,,,,,,,,"expression of impudence used by children: ""balls!""",expression d'impudence utilisée par les enfants,,,,.
ququaq,,1,v,i,,,,,,nil,,to play the trumpet,,,,,
qursuq,,1,v,i,a,,,,,,,to be yellow,être de couleur jaune,,,,.
qurturaq,,1,n,,,,,,,,,front of thigh,,,,,
qurvik,,1,n,,,,,,,,,chamber pot,pot de chambre,,,,.
qusu,,1,v,i,,,,,,gi/4vv,,to pull back from s.t.,,,,,
qut,,1,v,i,a,,,,,,,to be sealed over,être scellé,,,,.
quttik,,1,v,i,a,,,,,,,to be high,"être haut, élevé",,,,.
qutuq,,1,n,,ana,,,,,,,collar-bone,clavicule,,,,.
quviak,,1,v,i,e,,,,gusuk/1vv suk/1vv,gi/4vv,,"to be happy, joyful","être heureux, joyeux",,,,.
quvirsaq,,1,n,,ana,,,,,,,white of the eye,blanc de l'oeil,,,,.
saa,,1,n,,,,,,,,,"(1) the front, the face of stationary object (2) space before the lamp in the igloo (3) table [N.Baffin]",(1) le devant d'un objet stationnaire (2) l'espace devant la lampe dans un iglou (3) table [Terre de Baffin nord],,,,.
saala,,1,n,,,,,,,,,the loser,,,,,
saat,,1,v,i,a,,,,,,,to be thin,être mince,,,,.
sabgut,,1,n,,,,,,,,,long rod used as snow probe,tige longue utilisée pour vérifier la neige,,,,.
sabluutaq,,1,n,,,,,,,,,fence,,,,,
sabvuq,,1,v,i,,,,,,,,to clunk or plink in the water when falling into it,faire un bruit sourd en tombant dans l'eau,,,,.
saggaq,,1,n,,zoo,,,,,,,short-haired animal,animal à poil ras,,,,.
sagliq,,1,n,,,,,,,,,thin or melting spot on ice,endroit sur la glace où la glace est mince ou fondante,,,,.
saglu,,1,v,i,,,,,,,,to lie,,,,,
sagvaq,,1,v,t,,,,,,,i/1vv,[-R]to /put s.t. down in front,,,,,
saima,saimaq,1,v,i,a,,,,,,,"to be calm, contented, at peace with oneself","être calme, satisfait, en paix avec soi-même",,,,.
saitaq,,1,v,i,,,,,,,,to play cards,jouer aux cartes,,,,.
saitaq,,1,n,,,,,,,,,playing card,carte à jouer,,,,.
sajuk,,1,v,i,,,,,,,,to tremble,,,,,
saka,,1,v,i,,,,,,,,to invoke the spirits,invoquer les esprits,,,,.
saki,,1,n,,,,,,,,,father-in-law,,,,,
sakiaq,,1,n,,,,,,,,,(1) man's wife's brother,,,,,
sakku,,1,n,,,,,,,,,(1) double-edged point of harpoon or spear (2) cartridge,,,,,
saksiq,,1,v,i,a,,,,,,,"to be foggy, speaking of the weather",être brumeux (le temps),,,,.
sakuk,sakuuk,1,v,i,,,,,,,,to scrape off the inner skin from a pelt,gratter la peau intérieure d'une fourrure,,,,.
sakuk,,1,n,,,,,,,,,inner layer of a pelt or skin,couche interne d'une peau,,,,.
saliaq,,1,v,i,,,,,,,,to travel along the edge or border of some body of land or water,voyager sur le bord d'une pièce d'eau ou de terre,,,,.
salik,,1,v,i,,,,,,nil,,to wipe away,,,,,
sallaq,,1,v,i,a,,,,,,,"to be void of water, speaking of the sea ice in the spring",être vide d'eau (la glace de mer au printemps),,,,.
salluk,,1,v,i,a,,,,,,,to be lean,,,,,
salluq,,1,n,,,,,,,,,lean or scrawny person or animal,personne ou animal mince,,,,.
saluaq,,1,v,i,a,,,,,,,"to have its liquid or moisture content dried out, evaporated","avoir son contenu liquide ou humide séché, évaporé",,,,.
saluk,,1,v,i,a,,,,,,,to be lean,,,,,
salumma,salummaq,1,v,i,a,,,,,,,to be clean,,,,,
sana,,1,v,i,,,,,,nil,,to work at something,,,,,
sangu,,1,v,i,,,,,,,,"(1) to veer, to change direction (2) to change one's mind or to do s.t. not as usual",(1) changer de direction (2) changer d'idée ou faire qqch. d'inhabituel,,,,.
sani,,1,n,,,,,,,,,"side, flank of something",,,,,
saniq,,1,v,i,,,,,,nil,,to sweep something off its dirt,balayer la poussière (trans.: de qqch.),,,,.
saniq,,1,n,,,,,,,,,dirt accumulation on the floor,accumulation de saleté sur le plancher,,,,.
sanirarmik,,1,v,i,,,,,,nil,,to smooth s.t. with a plane,"égaliser, lisser qqch. avec un rabot",,,,.
sanirarmik,,1,n,,,,,,,,,wood plane,rabot à bois,,,,.
sannalik,,1,n,,,,,,,,,coarse-cut or pipe tobacco,tabac à pipe,,,,.
sanngi,,1,v,i,a,,,,,,,to be physically strong [WCHB,,,,,
sanniq,,1,v,t,res,,,,,,i/1vv,to /turn s.o. or s.t. on the side,/tourner qqn ou qqch. sur le côté,,,,.
sapangaq,,1,n,,,,,,,,,bead [N. Baffin],perle [Terre de Baffin nord],,,,.
sapi,,1,v,i,,,,,,,,to stop from doing s.t. or get incapable of doing s.t.,arrêter de faire qqch.,,,,
sapiq,,1,v,i,,,,,,nil,,(1) to give up on s.t. (2) to not feel in the mood to do s.t.,(1) laisser tomber,,,,
sapkut,,1,v,i,,,,,,nil,,to let go of s.t.,laisser aller qqch.,,,,.
sapu,,1,v,i,,,,,,,,to protect,protéger,,,,.
saput,,1,n,,,,,,,,,fish weir,,,,,
saqi,,1,v,i,,,,,,,,"to veer or change direction, speaking of the wind",changer de direction (le vent),,,,.
saqqaq,,1,n,,ana,,,,,,,hollow or depression at the base of the sternum,creux ou dépression à la base du sternum,,,,.
saqqik,,1,v,t,res,,,,,,i/1vv si/1vv,to /make s.t. appear or show to view,[T]faire apparaître qqch.[P]être fait qu'on apparaît[R]apparaître,,,,.
sarat,,1,v,i,a,,,,,,,to be damp or clammily moist,être humide ou moite,,,,.
sarima,,1,v,i,e,,,,gusuk/1vv,gi/4vv,,to be delighted or happy over some new acquisition,être ravi ou heureux d'une nouvelle acquisition,,,,.
sarliaq,,1,v,i,,,,,,,,to be nestling or lying over something,être assis ou étendu sur qqch.,,,,.
sarliaq,,1,n,,,,,,,,,whelp,,,,,
sarpik,,1,v,i,,,,,,,,to point one's feet outwards,,,,,
sarpik,,1,n,,,,,,,,,tail of a whale,queue d'une baleine,,,,.
sarvaq,,1,v,i,,,,,,,,"to run down, to flow swiftly, speaking of a water course","descendre, courir (cours d'eau)",,,,.
sarvaq,,1,n,,,,,,,,,rapid,,,,,
satuq,,1,v,t,res,,,,,,i/1vv,[-R]to /give away and then /take s.t. back,,,,,
sau,,1,v,i,,,,,,,,to insulate an igloo by covering it with snow,isoler un iglou en le couvrant de neige,,,,.
sau,,1,n,,,,,,,,,snow thrown over igloo as insulation,neige jetée sur un iglou en guise d'isolation,,,,.
saugaq,,1,n,,,,,,,,,sheep or lamb skin,peau d'agneau ou de mouton,,,,.
saulluut,,1,n,,,,,,,,,bone-pick for removing marrow from leg bones,pic en os pour enlever la moëlle des os de patte,,,,.
saumik,,1,n,,,,,,,,,left-handed person,,,,,
sauniq,,1,v,i,,,,,,nil,,to hit bone (trans.: with s.t.),se frapper un os (trans.: avec qqch.),,,,.
sauniq,,1,n,,ana,,,,,,,(1) bone,,,,,
saurraq,,1,n,,zoo,,,,,,,red phalarope,phalarope à bec large,,,,.
savak,,1,v,i,,,,,,,,to squelch,faire un bruit de succion,,,,
saviaq,,1,v,i,,,,,,nil,,to scrape (trans.: s.t.) clear of dirt or debris,,,,,
savik,,1,v,i,a,,,,,,,"to be fitted with a metal point, speaking of a harpoon or spear",avoir une pointe de métal fixée à son extrémité (un harpon ou une lance),,,,.
savik,,1,n,,,,,,,,,(1) metal,,,,,
sia,,1,n,,,,,,,,,loose deer hair,poils de cerf perdus par l'animal,,,,.
siak,,1,e,,,,,,,,,"ejaculation: ""What? what did you say?""",exclamation: 'Quoi? qu'as-tu dit?',,,,.
siaka,,1,v,i,,,,,,gi/4vv,,to worry about s.t.,s'inquiéter de qqch.,,,,.
siaktut,,1,n,,,p,,,,,,congregation of seals along ice crack,rassemblement de phoques le long d'une crevasse sur la glace,,,,.
siamak,,1,v,i,a,,,,,,,to be scattered or strewn about,"être répandu, éparpillé",,,,.
siaqqit,,1,v,i,,,,,,,,to slip on something,glisser sur qqch.,,,,.
siarnaq,,1,n,,,,,,,,,(1) animal with light brown or tan coat and black or grey patches (2) this type of colour,(1) animal avec une pelage brun léger et des taches noires ou grises (2) ce genre de couleur,,,,.
siaru,,1,a,,,,,,,,,"in a moment, abrev. of uvatsiaru","dans un moment, abbrév. de uvatsiaru",,,,.
sibviaq,,1,n,,ana,,,,,,,head of femur,tête du fémur,,,,.
sibvuq,,1,v,t,,,,,,,i/1vv si/1vv,[-R]to /wring the water from s.t.,,,,,
sigalaaq,,1,n,,,,,,,,,biscuit [WCHB],biscuit [côte ouest de la Baie d'Hudson],,,,.
sigaq,,1,v,i,,,,,,,,to make a sharp cracking noise,faire un bruit sec claquant,,,,.
siggit,,1,v,i,,,,,,,,to separate or break off by being worked back and forth,se séparer ou se briser à force d'être tiré et poussé,,,,.
sigguk,,1,n,,,,,,,,,beak or bill of bird,,,,,
sigjaq,,1,n,,,,,,,,,shore,,,,,
siik,,1,v,t,res,,,,,,si/1vv,to /slit s.t. open,"[-R]/inciser, /fendre qqch.[R]se fendre",,,,.
siimik,,1,v,t,,,,,,,si/1vv,"to /catch, /squash, /squeeze s.t. between or under heavy objects","/attraper, /écraser, /coincer qqch. entre ou sous des objets lourds",,,,.
siiqquq,,1,n,,ana,,,,,,,knee,genou,,,,.
siirnak,,1,v,i,a,,,,,,,"to be acidic in taste, tart, piquant, sickly sweet","être acide au goût, piquant",,,,.
siirnak,,1,n,,,,,,,,,sorrel,oseille,,,,.
siirtit,,1,v,i,,,,,,,,"to well up from the edge of lake in winter, speaking of the water","remonter du bord du lac en hiver, en parlant de l'eau",,,,.
sijjaq,,1,n,,,,,,,,,(1) fox den or lair [WCHB] (2) shore-line [N. Baffin] (3) passage-way to nest of a baby seal [N. Baffin],(1) tanière de renard [côte ouest de la Baie d'Hudson] (2) ligne du rivage [Terre de Baffin nord] (3) chemin vers le nid du bébé phoque [Terre de Baffin nord],,,,.
sikanga,,1,v,i,a,,,,,,,to act the fool,,,,,
siki,,1,v,i,,,,,,,,to look down at something,baisser le regard sur qqch.,,,,.
sikkik,,1,v,i,a,,,,,,,to be clear,,,,,
siksik,,1,n,,zoo,,,,,,,arctic marmot,marmotte polaire,,,,.
siku,,1,v,i,,,,,,,,"to have become ice, speaking of the water",avoir tourné en glace (eau),,,,.
siku,,1,n,,,,,,,,,ice,glace,,,,.
sikumngiq,,1,v,i,,,,,,,,to close one's eyes,fermer les yeux,,,,.
sila,,1,n,,,,,,,,,(1) air,,,,,
silata,silati,1,n,,,,,,,,,"the outside, the exterior of something",l'extérieur de qqch.,,,,.
silik,,1,v,i,a,,,,,,,to be wide or broad,être large,,,,.
sillinguji,,1,v,i,a,,,,,,,to have indigestion or gas pains,avoir une indigestion ou des douleurs causées par des gaz,,,,.
silu,,1,n,,,,,,,,,dead sea animal,animal marin mort,,,,.
siluk,,1,v,i,,,,,,nil,,"to raise one's arm, to be about, ready to strike (trans.: s.o. or s.t.)","lever la bras, être prêt à frapper (trans.: qqch. ou qqn)",,,,.
simik,,1,v,t,,,,,,,si/1vv,"to /stopper, /plug or /cork s.t.",/boucher qqch. (avec un bouchon),,,,.
simik,,1,n,,,,,,,,,stopper,,,,,
sinaa,sini,1,n,,,,,,,,,floe edge,bord de la banquise,,,,.
sinakjuk,,1,n,,,,,,,,,edge of an angled or sharp object,bord d'un objet aiguisé,,,,.
singai,,1,n,,ana,,,,,,,human foetus,foetus humain,,,,.
singiq,,1,v,i,,,,,,nil,,to tie shoe-laces (trans.: of s.o.),attacher les lacets (trans.: de qqn),,,,.
singiq,,1,n,,,,,,,,,ankle lace for shoe or boot,lacet à la cheville pour chaussure ou botte,,,,.
singnaa,,1,v,i,a,,,,,,,to be jealous of someone due to infidelity,être jaloux de qqn pour cause d'infidélité,,,,.
singuk,,1,v,i,,,,,,,,to exert a pressure,exercer une pression,,,,.
sinik,sinak,1,v,i,,,,,,,,to sleep,dormir,,,,.
sinik,,1,n,,,,,,,,,sleep,sommeil,,,,.
sinngaq,,1,v,t,,,,,,,,[-R]to /flatten s.t. or /spread s.t. out by pounding or hammering,[-R]/aplatir qqch. ou /étendre qqch. en martelant,,,,.
sipi,,1,v,t,,,,,,,si/1vv,to /rip s.t. clear through or right in half,/déchirer qqch. en deux proprement,,,,.
sipiksaq,,1,n,,,,,,,,,keel of a boat,"quille d'un bateau, d'une embarcation",,,,.
sipkiq,,1,v,i,,,,,,,,to fall out of joint (as bone from socket) or off its precarious balance,,,,,
siqalli,siqali,1,v,t,res,,,,,,i/1vv,to /pulverize s.t.,,,,,
